id,name,price,oldPrice,imgLink,discountPercent,productLink,screenSize,resolution,operatingSystem,imageTechnology,processor,refreshRate,speakerPower,internetConnection,wirelessConnectivity,usbPorts,videoAudioInputPorts,manufacturer,manufacturedIn,releaseYear,warrantyPeriod,tiviType,hdr,soundTechnology,memory,voiceSearch,crawlDate
"137068","Smart Tivi QNED LG 75QNED80TSA","28890000.00","0.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10057929-Smart_Tivi_QNED_LG_4K_75_inch_75QNED80TSA-tskt.jpg","34","https://www.nguyenkim.com/smart-tivi-qned-lg-4k-75-inch-75qned80tsa.html","75 inch","4K (UHD)","webOS 24","9 chế độ (Sống động, Tiêu chuẩn, Sinh thái, Rạp chiếu phim, Thể thao, Trò chơi, Nhà làm phim, (ISF) Chuyên gia (Phòng sáng), (ISF) Chuyên gia (Phòng tối))","α5 AI Processor 4K Gen7","60 Hz","20W","1 cổng","Wifi 5","2 Cổng","3 cổng HDMI có 1 cổng HDMI eARC (ARC)","LG","Indonesia","2024","24 Tháng","Tivi QNED","HDR10/HLG","AI Sound Pro (Virtual 9.1.2 Up-mix)","","Tìm kiếm bằng giọng nói Tiếng Việt",2024-12-01
"117684","Tivi QLED Samsung QA75QN85BAKXXV","64890000.00","64890000.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10051651-smart-tivi-neo-qled-samsung-4k-75-inch-qa75qn85bakxxv.jpg","7","https://www.nguyenkim.com/smart-tivi-neo-qled-samsung-4k-75-inch-qa75qn85bakxxv.html","75 inch","4K (UHD)","Tizen OS 6.0","Quantum HDR 24X, Motion Xcelerator Turbo+, Quantum Matrix Technology, Wide Viewing Angle,","Neo Quantum 4K","120 Hz","60W","Có","Wifi 5","2 Cổng","4 Cổng","Samsung","Việt Nam","2021","24 Tháng","Tivi Neo QLED","Quantum HDR 24X","Dolby Digital Plus, Adaptive Sound,Q-Symphony, Active Voice Amplifier, Object Tracking Sound","","Bixby (Dự kiến có tiếng Việt tháng 3/2024), Tìm kiếm giọng nói trên YouTube bằng tiếng Việt",2024-12-01
"119107","Smart Tivi OLED LG OLED55G2PSA","44890000.00","42890000.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10052139-smart-tivi-oled-lg-4k-55-inch-oled55g2psa-tskt.jpg","24","https://www.nguyenkim.com/smart-tivi-oled-lg-4k-55-inch-oled55g2psa.html","55 inch","4K (UHD)","webOS Smart TV","4K Cinema HDR, Chế độ nhà làm phim FilmMaker Mode, Dolby Vision IQ, HDR Dolby Vision, HDR Dynamic Tone Mapping Pro, HDR10 Pro, HLG, Tăng độ sáng 30% Brightness Booster MAX, Tương phản hoàn hảo Perfect Black, Dải màu siêu rộng Perfect Color","α9 Gen5 AI Processor 4K","120 Hz","60W","Có","Có (802.11ax)","3 Cổng","4 Cổng","LG","Indonesia","2022","24 Tháng","Tivi OLED","","Bluetooth Surround Ready, Dolby Atmos, Âm thanh phù hợp theo nội dung AI Sound Pro, Điều chỉnh âm thanh tự động AI Acoustic Tuning, Đồng bộ hóa âm thanh LG Sound Sync","","Tìm kiếm bằng giọng nói Tiếng Việt, Google Assistant (Chưa có tiếng Việt), Alexa (Chưa có tiếng Việt)",2024-12-01
"137138","Tivi OLED LG OLED65B4PSA","39890000.00","0.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10057919-Smart-Tivi-OLED-LG-4K-65-inch-OLED65B4PSA-tskt.jpg","33","https://www.nguyenkim.com/smart-tivi-oled-lg-4k-65-inch-oled65b4psa.html","65 inch","4K (UHD)","webOS 24","10 chế độ (Trình hướng dẫn hình ảnh được cá nhân hóa, sống động, tiêu chuẩn, sinh thái, rạp chiếu phim, thể thao, trò chơi, nhà làm phim, (ISF) Chuyên gia (Phòng sáng), (ISF) Chuyên gia (Phòng tối)), Dolby Vision","α8 AI Processor 4K","120 Hz","20W","1 cổng","Wifi 5","2 cổng (v 2.0)","4 Cổng","LG","Indonesia","2024","36 Tháng","Tivi OLED","HDR10/HLG","α8 AI Sound Pro (Virtual 9.1.2 Up-mix)","","Tìm kiếm bằng giọng nói Tiếng Việt",2024-12-01
"73696","Android Tivi TCL S6500","9990000.00","9990000.00","","0","https://www.nguyenkim.com/tv-android-tcl-49-inch-l49s6500.html","49 inch","Full HD","Android 8.0","Hiệu ứng HDR, Micro Dimming","Quad Core","","","Có","Có, Tích hợp","2 Cổng","3 cổng","TCL","Việt Nam","2019","36 Tháng","Android Tivi","","","8 GB","Có",2024-12-01
"137143","Tivi OLED LG OLED55G4PSA","49890000.00","0.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10057910-Smart_Tivi_OLED_LG_4K_55_inch_OLED55G4PSA.ATV-tskt-11.jpg","9","https://www.nguyenkim.com/smart-tivi-oled-lg-4k-55-inch-oled55g4psa.html","55 inch","4K (UHD)","webOS 24","10 chế độ (Trình hướng dẫn hình ảnh được cá nhân hóa, sống động, tiêu chuẩn, sinh thái, rạp chiếu phim, thể thao, trò chơi, nhà làm phim, (ISF) Chuyên gia (Phòng sáng), (ISF) Chuyên gia (Phòng tối)), Dolby Vision","α11 AI Processor 4K","120 Hz","60W","1 cổng","Wifi 5","3 cổng (v 2.0)","4 Cổng","LG","Indonesia","2024","36 Tháng","Tivi OLED","HDR10/HLG","α11 AI Sound Pro (Virtual 11.1.2 Up-mix)","","Tìm kiếm bằng giọng nói Tiếng Việt",2024-12-01
"130608","Google Tivi Sony XR-85X90L","57890000.00","67890000.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10055813-google-tivi-sony-4k-85-inch-xr-85x90l-vn3-tskt-2.jpg","11","https://www.nguyenkim.com/google-tivi-sony-4k-85-inch-xr-85x90l-vn3.html","85 inch","4K (UHD)","Google TV","Dolby Vision, HDR10, HLG, Tăng cường tương phản XR Contrast Booster 10, Nâng cấp độ phân giải XR 4K Upscaling, Tăng cường màu sắc XR Triluminos Pro, Giảm nhiễu XR Clear Image, Làm mượt chuyển động XR Motion Clarity","Bộ xử lý trí tuệ nhận thức XR Cognitive","120 Hz/100 Hz","30W","Có","Có","2 cổng","4 cổng","Sony","Malaysia","2023","24 Tháng","Google Tivi","HDR10/HLG/Dolby Vision","Dolby Atmos, DTS Digital Surround, Nâng cấp âm thanh vòm 3D, Âm thanh vòm S-Force Front Surround, Bộ khuếch đại âm thanh S-Master Digital Amplifier, Âm thanh từ màn hình Acoustic Multi Audio","","Tìm kiếm giọng nói trên YouTube bằng tiếng Việt, Google Assistant có tiếng Việt",2024-12-01
"89735","Android Tivi Casper 55UG6100","7990000.00","7990000.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10049971-android-tivi-casper-4k-55-inch-55ug6100-tskt.jpg","43","https://www.nguyenkim.com/android-tivi-casper-55ug6100.html","55 inch","4K (UHD)","Android 9.0","4K HDR , Màn hình siêu sáng Super Brightness","Đang cập nhật","Hãng không công bố Hz","20W","Có","Cổng Ethernet và Wifi","2 cổng USB A","3 cổng","Casper","Thái Lan","2021","24 Tháng","Android Tivi","","Dolby Audio, Pure sound","","Google Assistant có tiếng Việt",2024-12-01
"132432","Google Tivi ULED Hisense 55U6K","11990000.00","0.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10056782-google-tivi-uled-hisense-4k-55inch-55uk6-tskt.jpg","20","https://www.nguyenkim.com/google-tivi-hisense-4k-55-inch-55u6k.html","55 inch","4K (UHD)","Google TV","Full Array Local Dimming, Quantum Dot Colour, Adaptive Light Sensor, Dolby Vision, HDR10, HDR10+ và HLG, Công nghệ Filmmaker Mode, Công nghệ Game Mode Plus, AI Sports Mode, AI Picture,…","Hi-View Engine","60 Hz","20W","Có","Có","2 Cổng","3 cổng","Hisense","Thái Lan","2023","36 Tháng","Smart Tivi","HLG/HDR 10/Dolby Vision","Dolby Atmos","","Có",2024-12-01
"128878","Google Tivi OLED Sony XR-65A80L VN3","58590000.00","58890000.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10055293-google-tivi-oled-sony-bravia-4k-65-inch-xr-65a80l-vn3-tskt.jpg","18","https://www.nguyenkim.com/google-tivi-oled-sony-4k-65-inch-xr-65a80l-vn3.html","65 inch","4K (UHD)","Google TV","Chuyển động mượt XR OLED Motion, Dolby Vision, HDR10, HLG, Tăng độ tương phản XR OLED Contrast Pro, Nâng cấp độ phân giải XR 4K Upscaling, Tăng cường màu sắc XR Triluminos Pro, Giảm nhiễu XR Clear Image, Đồng bộ khung hình/tần số quét chơi game VRR, Giảm","Bộ xử lý trí tuệ nhận thức XR Cognitive","120/100 Hz","50W","Có","Có","2 cổng USB A","4 Cổng","Sony","Malaysia","2023","24 Tháng","Tivi OLED","HDR10/HLG/Dolby Vision","Âm thanh từ màn hình Acoustic Surface Audio+, Dolby Atmos, Nâng cấp âm thanh vòm 3D, DTS Digital Surround, S-Master Digital Amplifier, S-Force Front Surround, Cho phép tùy chọn âm thanh theo nội dung xem phim, ca nhạc, bóng đá…","","Tìm kiếm giọng nói trên YouTube bằng tiếng ViệtGoogle Assistant có tiếng Việt, Tìm kiếm bằng giọng nói truyền thống thông qua remote RMF-TX810V",2024-12-01
